seed,status,all_count,new_count,all_size,new_size
https://blog.aarp.org/aarp-celebrates-stonewall-50th-anniversary-during-lgbt-pride-month,Crawled,10356,9664,5826862764,5804623908
https://www.vogue.com/article/stonewall-inn-50th-anniversary-interview/,Redirected,25227,16941,5471678002,5385428188
http://nyfos.org/stonewall-at-50/,Crawled,69082,68923,5371521735,5369687319
https://en.wikipedia.org/wiki/Stonewall_50_%E2%80%93_WorldPride_NYC_2019,Crawled,40728,39016,5416393613,5369366999
https://www.atlanta.net/events/detail/stonewall-50-exhibit-at-atlanta-city-hall/122642/,Crawled,66378,62970,5423253752,5369149241
https://www.thedailybeast.com/stonewall-50-dont-forget-the-black-and-brown-lgbtq-struggle/,Crawled,61033,56887,5448153720,5369118822
https://kywnewsradio.radio.com/categories/stonewall-50/,Crawled,34508,34174,5414148507,5369005035
http://www.roosevelthouse.hunter.cuny.edu/events/fifty-years-stonewall-now-go/,Crawled,86378,86261,5370103576,5368828744
https://soundcloud.com/workingclasshistory/stonewall-riots-pride-50th-anniversary-lgbtq-1,Crawled,74274,73616,5462774202,5368771078
https://roccitylibrary.org/exhibits/stonewall_at_50/,Crawled,68712,68568,5370137896,5368735591
https://warwick.ac.uk/services/equalops/sexualorientationgenderidentity/stonewall50/,Crawled,68838,68808,5368839157,5368720126
https://www.uua.org/lgbtq/blog/stonewall50/,Redirected,1224,1178,427050684,425284911
https://lgbtqcolorado.org/stonewall50/,Crawled,564,384,572218315,283074543
https://lgbt.ucsf.edu/STONEWALL50/,Crawled,604,575,125336713,125214899
https://camh.org/event/stonewall50/,Crawled,230,211,63655770,63407298
https://divabetic.org/2019/06/12/stonewall-50-on-diabetes-late-nite/,Crawled,318,171,47095257,41537503
https://harpers.org/archive/2019/06/stonewall-at-fifty/,Crawled,476,451,27472154,27125005
https://houmuse.org/explore/events/stonewall-50/,Crawled,148,85,20594718,18855347
https://www.dupontunderground.org/calendar/2019/6/1/under-uprising-stonewall-50-a3h27-tss2y-sgtwg-2wj4b-7hnlm,Crawled,1860,65,87847591,17489170
https://ryanhealth.org/press/ryan-health-equality-stonewall-50-launches-to-promote-health-equity-for-lgbtq-communities-of-color/,Crawled,388,379,13493792,13429536
https://www.columbia.edu/content/events/stonewall-50-defining-lgbtq-site-preservation/,Crawled,71868,268,8467235761,13323498
https://www.atlantapride.org/event/stonewall-50-the-legacy-of-a-movement/,Crawled,312,257,11728070,10954838
https://alumni.harvard.edu/events/stonewall-50-and-veritas/,Crawled,126,112,10445133,10317919
http://harveymilkphotocenter.org/exhibits/stonewall-50-years/,Crawled,134,60,8419112,6716536
https://glogauair.net/activity/stonewall-50-days-of-future-past/,Crawled,145,78,8175203,6107460
https://socialistaction.org/2019/06/10/stonewall-50-reclaiming-pride/,Crawled,186,149,6509105,6046714
https://queerspirit.net/blog/252-stonewall-50-from-riots-to-rites/,Crawled,143,141,5558895,5539803
https://www.proudout.com/po-event/stonewall-50th-anniversary-gala-dinner/,Crawled,435,383,5105996,4414616
https://www.bostonpride.org/stonewall50/,Crawled,264,128,10306978,4314865
https://www.stannholytrinity.org/event/spirit-of-stonewall-50-years-on/,Crawled,225,57,11610869,3894991
https://www.caribbeanequalityproject.org/stonewall-50/,Crawled,52,35,4823001,3522292
https://www.npr.org/podcasts/731332085/the-sound-of-pride-stonewall-at-50/,Crawled,133,44,8101858,2988396
https://denverpride.org/stonewall-50-a-year-long-tribute-to-the-anniversary-of-the-uprising-at-the-stonewall-inn/,Crawled,343,61,18053421,2928836
http://www.nysba.org/Journal/2019/Jun/Stonewall_50/,Crawled,108,94,4237837,2920506
https://lgbtfunders.org/ourevents/stonewall-50-lessons-in-unerasing-underrepresented-histories/,Crawled,361,67,3708183,2811064
https://www.ithaca.edu/intercom/article.php/20190604163257570#.XQk-YK-WzDA,Crawled,257,205,3097229,2493885
https://brooklynrail.org/2019/06/poetry/MARKED-SAFE-For-Stonewall-50th/,Crawled,45,39,2207682,2018042
https://www.artidea.org/event/2019/3618/,Redirected,91,72,1863281,1807678
https://eiic.org/blog/stonewall-50/,Crawled,87,70,1935096,1739232
https://soundcloud.com/workingclasshistory/stonewall-riots-pride-glf-50-lgbt-2,Crawled,85,80,5396166,1690102
http://www.brooklyn.cuny.edu/web/academics/centers/wolfe/events/stonewall-50.php,Crawled,92,45,1624774,1247155
https://uahs.arizona.edu/event/stonewall-50th-celebration/,Crawled,97,58,1404516,1163942
https://greenwichvillage.nyc/events/stonewall-50-queer-life-stonewall-hugh-ryan-and-lisa-e-davis/,Crawled,136,127,1507195,1031479
https://www.oah.org/insights/posts/2019/1/stonewall-at-50/,Crawled,84,39,1759889,991832
https://www.pridecentervt.org/pride-week-events/event/126934-vt-stonewall-50-celebration/,Crawled,143,47,1253241,917275
https://www.purdue.edu/lgbtq/events/stonewall.php,Crawled,68,39,1869684,887563
http://queenstheatre.org/stonewall-50-plays/,Crawled,69,44,829622,555159
https://wcbn.org/content/stonewall-50-and-still-we-rise/,Crawled,66,49,406582,292697
https://lgbt.ucsf.edu/sw50,Crawled,3,3,184347,184347
